feature,count,proportion,in_all_seeds,mean_rank,median_rank,best_rank,worst_rank
cerebrum_frontallobe_glszm_ZoneVariance_RL_absdiff,10,1.0,True,9.3,9.0,6,14
cerebrum_frontallobe_glszm_LargeAreaLowGrayLevelEmphasis_RL_absdiff,9,0.9,False,6.444444444444445,4.0,3,15
cerebrum_temporallobe_glszm_ZoneVariance_RL_absdiff,9,0.9,False,8.222222222222221,7.0,4,16
cerebrum_temporallobe_glszm_LargeAreaEmphasis_RL_absdiff,9,0.9,False,10.777777777777779,10.0,5,20
cerebrum_limbiclobe_ngtdm_Coarseness_RL_absdiff,8,0.8,False,4.875,3.5,1,19
cerebrum_sub-lobar_firstorder_RootMeanSquared_RL_absdiff,8,0.8,False,5.75,4.5,2,14
cerebrum_sub-lobar_firstorder_TotalEnergy_RL_absdiff,8,0.8,False,8.625,7.0,2,16
cerebrum_frontallobe_glszm_LargeAreaEmphasis_RL_absdiff,8,0.8,False,10.0,9.0,7,17
cerebrum_temporallobe_glszm_LargeAreaLowGrayLevelEmphasis_RL_absdiff,7,0.7,False,6.571428571428571,2.0,1,18
cerebrum_sub-lobar_firstorder_Energy_RL_absdiff,7,0.7,False,8.571428571428571,7.0,5,15
cerebrum_frontallobe_glszm_LargeAreaHighGrayLevelEmphasis_RL_absdiff,7,0.7,False,9.428571428571429,8.0,2,19
cerebrum_sub-lobar_firstorder_Mean_RL_absdiff,6,0.6,False,6.833333333333333,4.5,1,19
cerebrum_sub-lobar_firstorder_Skewness_RL_absdiff,3,0.3,False,7.333333333333333,7.0,3,12
cerebrum_temporallobe_glrlm_RunLengthNonUniformity_RL_absdiff,2,0.2,False,3.5,3.5,3,4
cerebrum_frontallobe_firstorder_Kurtosis_RL_absdiff,2,0.2,False,3.5,3.5,3,4
cerebrum_temporallobe_gldm_HighGrayLevelEmphasis_RL_absdiff,2,0.2,False,4.0,4.0,1,7
cerebrum_frontallobe_glszm_ZoneEntropy_RL_absdiff,2,0.2,False,6.5,6.5,3,10
cerebrum_temporallobe_firstorder_90Percentile_RL_absdiff,2,0.2,False,9.5,9.5,2,17
cerebrum_temporallobe_glszm_LargeAreaHighGrayLevelEmphasis_RL_absdiff,2,0.2,False,13.0,13.0,10,16
cerebellum_anteriorlobe_ngtdm_Complexity_RL_diff,1,0.1,False,1.0,1.0,1,1
cerebellum_posteriorlobe_glszm_LowGrayLevelZoneEmphasis_RL_absdiff,1,0.1,False,1.0,1.0,1,1
brainstem_midbrain_firstorder_Kurtosis_RL_ratio,1,0.1,False,1.0,1.0,1,1
leftcerebrum_sub-lobar_firstorder_Skewness,1,0.1,False,1.0,1.0,1,1
cerebrum_temporallobe_glrlm_ShortRunHighGrayLevelEmphasis_RL_absdiff,1,0.1,False,2.0,2.0,2,2
cerebrum_limbiclobe_firstorder_90Percentile_RL_absdiff,1,0.1,False,3.0,3.0,3,3
cerebrum_temporallobe_glcm_Autocorrelation_RL_absdiff,1,0.1,False,3.0,3.0,3,3
rightcerebrum_temporallobe_glcm_Imc2,1,0.1,False,4.0,4.0,4,4
cerebrum_sub-lobar_firstorder_Median_RL_absdiff,1,0.1,False,5.0,5.0,5,5
cerebrum_frontallobe_gldm_HighGrayLevelEmphasis_RL_absdiff,1,0.1,False,6.0,6.0,6,6
full_ct_glrlm_GrayLevelVariance,1,0.1,False,7.0,7.0,7,7
cerebrum_frontallobe_glcm_Autocorrelation_RL_absdiff,1,0.1,False,8.0,8.0,8,8
cerebrum_frontallobe_glszm_GrayLevelNonUniformityNormalized_RL_absdiff,1,0.1,False,9.0,9.0,9,9
cerebrum_frontallobe_glcm_SumAverage_RL_absdiff,1,0.1,False,9.0,9.0,9,9
cerebrum_frontallobe_glszm_GrayLevelVariance_RL_absdiff,1,0.1,False,9.0,9.0,9,9
cerebrum_frontallobe_glcm_JointAverage_RL_absdiff,1,0.1,False,10.0,10.0,10,10
cerebrum_temporallobe_glrlm_GrayLevelVariance_RL_absdiff,1,0.1,False,12.0,12.0,12,12
cerebrum_temporallobe_glrlm_HighGrayLevelRunEmphasis_RL_absdiff,1,0.1,False,13.0,13.0,13,13
cerebrum_frontallobe_firstorder_RootMeanSquared_RL_absdiff,1,0.1,False,13.0,13.0,13,13
cerebrum_frontallobe_firstorder_Mean_RL_absdiff,1,0.1,False,15.0,15.0,15,15
cerebrum_frontallobe_firstorder_TotalEnergy_RL_absdiff,1,0.1,False,17.0,17.0,17,17
cerebrum_sub-lobar_glcm_SumEntropy_RL_absdiff,1,0.1,False,17.0,17.0,17,17
cerebrum_frontallobe_firstorder_Energy_RL_absdiff,1,0.1,False,18.0,18.0,18,18
cerebrum_sub-lobar_firstorder_Entropy_RL_absdiff,1,0.1,False,18.0,18.0,18,18
cerebrum_temporallobe_firstorder_Energy_RL_absdiff,1,0.1,False,18.0,18.0,18,18
cerebrum_temporallobe_firstorder_TotalEnergy_RL_absdiff,1,0.1,False,19.0,19.0,19,19
cerebrum_frontallobe_glrlm_HighGrayLevelRunEmphasis_RL_absdiff,1,0.1,False,20.0,20.0,20,20
cerebrum_sub-lobar_glcm_ClusterShade_RL_absdiff,1,0.1,False,20.0,20.0,20,20
cerebrum_temporallobe_firstorder_RootMeanSquared_RL_absdiff,1,0.1,False,20.0,20.0,20,20
